sector,naics,pattern,policy,decided_by,decided_at,note
cannabis,453993,cannabis|marijuana,prohibited,Cannabis Act s.21,2026-08-06,STATUTE. It is prohibited to use a brand element of cannabis in a promotion used in the sponsorship of a person entity event activity or facility. Every Enactus SFU tier delivers logo placement and social posts so the club cannot lawfully deliver what it is selling
tobacco,453991,tobacco|cigarette|cigar|smoke shop|head shop,prohibited,Tobacco and Vaping Products Act s.24,2026-08-06,STATUTE. No person shall promote a tobacco product-related brand element in a manner likely to create an association between the brand element and a person entity event activity or permanent facility
vaping,453991,vape|vaping|e-cigarette|e-liquid,prohibited,Tobacco and Vaping Products Act s.30.3,2026-08-06,STATUTE. s.30.3 applies the identical s.24 prohibition to vaping products
alcohol,3121,brewery|winery|distillery|spirits|liquor|licensed hospitality,allowed,Enactus SFU by its own behaviour,2026-08-06,NOT EXCLUDED. The club's own pipeline carries The Woods Spirit Co. as an active prospect and its partner lists carry Cactus Club Cafe Browns Socialhouse The Old Spaghetti Factory and the Rio Theatre. The club has already made this decision. Aside for the club - the seed record says 21+ but BC's minimum drinking age is 19
gambling,7132,casino|betting|sportsbook|lottery|gaming,needs_decision,,,FLAG ONLY. BC gambling advertising is regulated by GPEB/BCLC but not prohibited. A public-university club association is a judgment call the club owns
payday_lending,522291,payday|debt relief|debt consolidation|credit repair,needs_decision,,,FLAG ONLY. Targets a student audience directly. Reputationally live but not unlawful
crypto_forex,,crypto|forex|cfd|token sale|web3 trading,needs_decision,,,FLAG ONLY. Same reasoning as payday lending
mlm,,mlm|multi-level marketing|multilevel marketing|direct sales opportunity,needs_decision,,,FLAG ONLY. Recruits students as distributors - that is the actual risk not the sector. The disqualifier report names this as one of the two with the sharpest specific risk
adult_entertainment,7139,,needs_decision,,,FLAG ONLY. Almost certainly no but it is the club's call. Detection is an explicit-term list the report deliberately did not enumerate
firearms,44813,firearm|ammunition|gun shop|gun store,needs_decision,,,FLAG ONLY. Legal BC retail. The club decides
political,,party of|riding association|campaign for|elect,needs_decision,,,FLAG ONLY. SFSS and SFU both have political-neutrality expectations but the report did NOT retrieve the policy text - UNVERIFIED. That is exactly why this is a flag and not a rule
