kind,value,entity,appeared_in,reason,added_by,added_at,source_url
domain,varshneycapital.com,Varshney Capital Corp,2026 /sponsor|past partners,Repeat. One of the club's five demonstrated spontaneous renewers,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
domain,modoyogavancouver.com,Modo Yoga Vancouver,2026 /sponsor|past partners|2025-26 wall,Repeat. Franchise carve-out proof case - own domain with its own MX,enactus-icp/report.md 3.1,2026-08-06,https://modoyoga.com/
domain,cactusclubcafe.com,Cactus Club Cafe,past partners,Publishes /donation-requests/ - CHANNEL web_form not a kill,enactus-icp/report.md 3.2,2026-08-06,https://www.cactusclubcafe.com/donation-requests/
name,red bull,Red Bull,2026 /sponsor|2025-26 wall,Verified Student Marketeer programme - campus-scoped brand field marketing,enactus-icp/report.md 3.1,2026-08-06,https://jobs.redbull.com/
name,idance,iDance,2026 /sponsor|2025-26 wall,Trial-model service SMB,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,ipop,iPop,2026 /sponsor,Full legal identity UNVERIFIED in the source,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,rumble,Rumble Boxing,2026 /sponsor|past partners|2025-26 wall,Repeat. One of the club's five demonstrated spontaneous renewers,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,skoah,skoah.,2026 /sponsor|past partners|2025-26 wall,Repeat. One of the club's five demonstrated spontaneous renewers,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,vellum wellness,Vellum Wellness,2026 /sponsor|past partners,Repeat. Verified Vancouver aromachology brand founded 2018,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,vancouver water adventures,Vancouver Water Adventures,2026 /sponsor|2025-26 wall,Tour operator - donated item is a voucher,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,popeyes supplements,Popeye's Supplements,2026 /sponsor,Franchise - approach the store never head office,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,the old spaghetti factory,The Old Spaghetti Factory,2026 /sponsor|2025-26 wall,Franchise - approach the location never head office,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,pandoras locks,Pandora's Locks,2026 /sponsor,Identity inferred from name - UNVERIFIED,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,vancouver maritime museum,Vancouver Maritime Museum,2026 /sponsor,On the Forward Vision PRIZE list so the ask that fits is a transferable admission pass - S2 not S16,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,intelligent change,Intelligent Change,2026 /sponsor,Identity UNVERIFIED,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,promo sapien,Promo Sapien,2026 /sponsor,Verified Vancouver promotional-products firm since 1996 at 1420 Frances St. Textbook club-vendor motive,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,freesia soap,Freesia Soap Company,2026 /sponsor,Specialty retail prize-table donor. Social-only presence,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,baaad annas,Baaad Anna's,2026 /sponsor,Specialty retail prize-table donor. Social-only presence,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,nordic yarn,Nordic Yarn,2026 /sponsor,Specialty retail prize-table donor. Social-only presence,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,western sky books,Western Sky Books,2026 /sponsor,Specialty retail prize-table donor,enactus-icp/report.md 3.1,2026-08-06,https://www.enactussfu.ca/
name,6 pack indoor beach,6 Pack Indoor Beach,past partners,Drop-in sports facility,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,rio theatre,Rio Theatre,past partners|2025-26 wall,Tickets as prize,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,waves coffee house,Waves Coffee House,past partners|2025-26 wall,Chain - location-level approach,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,nicks pasta,Nick's Pasta,past partners,Neighbourhood F&B,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,vancity,Vancity,past partners|2025-26 wall,BC credit union with a community-investment mandate. Community Partnership Program up to $10000,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,visa,Visa,past partners,NON-MONETARY. Mentor employer / judge / host. Do not model as a donor,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,amazon,Amazon,past partners|2025-26 wall,NON-MONETARY. Mentor employer / judge / host. Do not model as a donor,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,kpmg,KPMG,past partners,NON-MONETARY. Mentor employer / judge / host. Do not model as a donor,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,deloitte,Deloitte,past partners|documented engagements,NON-MONETARY. Forward Vision mentors,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
